timestamp_ms,event,gpu0_free_mb
70584,,566
70784,,566
70985,,566
71185,,566
71265,prefill_end,566
71265,hcs_soft_load_start,566
71265,hcs_soft_load_end,566
71265,decode_start,566
71265,decode_end,566
71386,,566
71587,,566
71613,prefill_start,566
71788,,566
71988,,566
72189,,566
72390,,566
72590,,566
72791,,566
72991,,566
73192,,566
73392,,566
73593,,566
73794,,566
73995,,566
74195,,566
74396,,566
74596,,566
74797,,566
74997,,566
75198,,566
75337,prefill_end,566
75337,hcs_soft_load_start,566
75337,hcs_soft_load_end,566
75337,decode_start,566
75338,decode_end,566
75399,,566
75600,,566
75684,prefill_start,566
75801,,566
76002,,566
76202,,566
76403,,566
76603,,566
76804,,566
77005,,566
77205,,566
77406,,566
77606,,566
77807,,566
78007,,566
78208,,566
78409,,566
78609,,566
78810,,566
79010,,566
79211,,566
79412,,566
79612,,566
79813,,566
80013,,566
80214,,566
80414,,566
80615,,566
80816,,566
81016,,566
81217,,566
81417,,566
81618,,566
81818,,566
82019,,566
82219,,566
82420,,566
82621,,566
82821,,566
83022,,566
83222,,566
83423,,566
83623,,566
83824,,566
84025,,566
84225,,566
84426,,566
84626,,566
84827,,566
84842,prefill_end,566
84842,hcs_soft_load_start,566
84842,hcs_soft_load_end,566
84842,decode_start,566
84842,decode_end,566
85028,,566
85220,prefill_start,566
85229,,566
85430,,566
85630,,566
85831,,566
86032,,566
86232,,566
86433,,566
86634,,566
86834,,566
87035,,566
87235,,566
87436,,566
87636,,566
87837,,566
88038,,566
88238,,566
88439,,566
88639,,566
88840,,566
89040,,566
89241,,566
89441,,566
89642,,566
89843,,566
90043,,566
90244,,566
90444,,566
90645,,566
90845,,566
91046,,566
91247,,566
91447,,566
91648,,566
91848,,566
92049,,566
92249,,566
92450,,566
92651,,566
92851,,566
93052,,566
93252,,566
93453,,566
93653,,566
93854,,566
94055,,566
94255,,566
94456,,566
94657,,566
94857,,566
95058,,566
95258,,566
95459,,566
95660,,566
95860,,566
96061,,566
96261,,566
96462,,566
96662,,566
96863,,566
97064,,566
97264,,566
97465,,566
97665,,566
97866,,566
98066,,566
98267,,566
98468,,566
98668,,566
98869,,566
99069,,566
99270,,566
99471,,566
99671,,566
99872,,566
100072,,566
100273,,566
100473,,566
100674,,566
100875,,566
101075,,566
101276,,566
101476,,566
101677,,566
101878,,566
102078,,566
102279,,566
102479,,566
102680,,566
102880,,566
103081,,566
103282,,566
103482,,566
103683,,566
103883,,566
104084,,566
104284,,566
104485,,566
104686,,566
104886,,566
105087,,566
105287,,566
105488,,566
105689,,566
105889,,566
106090,,566
106291,,566
106462,prefill_end,566
106462,hcs_soft_load_start,566
106462,hcs_soft_load_end,566
106462,decode_start,566
106462,decode_end,566
106492,,566
106692,,566
106893,,566
107088,prefill_start,566
107094,,566
107295,,566
107496,,566
107696,,566
107897,,566
108097,,566
108298,,566
108499,,566
108699,,566
108900,,566
109101,,566
109301,,566
109502,,566
109703,,566
109903,,566
110104,,566
110304,,566
110505,,566
110705,,566
110906,,566
111107,,566
111307,,566
111508,,566
111709,,566
111909,,566
112110,,566
112310,,566
112511,,566
112711,,566
112912,,566
113112,,566
113313,,566
113514,,566
113714,,566
113915,,566
114115,,566
114316,,566
114516,,566
114717,,566
114918,,566
115118,,566
115319,,566
115519,,566
115720,,566
115920,,566
116121,,566
116322,,566
116522,,566
116723,,566
116923,,566
117124,,566
117325,,566
117526,,566
117726,,566
117927,,566
118127,,566
118328,,566
118528,,566
118729,,566
118930,,566
119131,,566
119331,,566
119532,,566
119732,,566
119933,,566
120133,,566
120334,,566
120535,,566
120735,,566
120936,,566
121136,,566
121337,,566
121538,,566
121738,,566
121939,,566
122139,,566
122340,,566
122540,,566
122741,,566
122942,,566
123142,,566
123343,,566
123544,,566
123744,,566
123945,,566
124145,,566
124346,,566
124546,,566
124747,,566
124947,,566
125148,,566
125349,,566
125549,,566
125750,,566
125950,,566
126151,,566
126351,,566
126552,,566
126753,,566
126953,,566
127154,,566
127354,,566
127555,,566
127755,,566
127956,,566
128157,,566
128357,,566
128558,,566
128758,,566
128959,,566
129160,,566
129360,,566
129561,,566
129761,,566
129962,,566
130162,,566
130363,,566
130564,,566
130764,,566
130965,,566
131165,,566
131366,,566
131566,,566
131767,,566
131968,,566
132168,,566
132369,,566
132570,,566
132770,,566
132971,,566
133171,,566
133372,,566
133572,,566
133773,,566
133974,,566
134174,,566
134375,,566
134575,,566
134776,,566
134976,,566
135177,,566
135378,,566
135578,,566
135779,,566
135979,,566
136180,,566
136380,,566
136581,,566
136782,,566
136982,,566
137183,,566
137383,,566
137584,,566
137784,,566
137985,,566
138186,,566
138386,,566
138587,,566
138787,,566
138988,,566
139188,,566
139389,,566
139590,,566
139790,,566
139991,,566
140191,,566
140392,,566
140592,,566
140793,,566
140993,,566
141194,,566
141395,,566
141595,,566
141796,,566
141996,,566
142197,,566
142397,,566
142598,,566
142799,,566
142999,,566
143200,,566
143400,,566
143601,,566
143802,,566
144002,,566
144203,,566
144288,prefill_end,566
144288,hcs_soft_load_start,566
144288,hcs_soft_load_end,566
144288,decode_start,566
144288,decode_end,566
144404,,566
144605,,566
144806,,566
144892,prefill_start,566
145007,,566
145208,,566
145408,,566
145609,,566
145809,,566
146010,,566
146210,,566
146411,,566
146459,prefill_end,566
146459,hcs_soft_load_start,566
146459,hcs_soft_load_end,566
146459,decode_start,566
146612,,566
146813,,566
147013,,566
147204,decode_end,566
147214,,566
147415,,566
147528,prefill_start,566
147616,,566
147816,,566
148017,,566
148217,,566
148418,,566
148618,,566
148819,,566
149020,,566
149211,prefill_end,566
149211,hcs_soft_load_start,566
149211,hcs_soft_load_end,566
149211,decode_start,566
149220,,566
149421,,566
149622,,566
149822,,566
150023,,566
150223,,566
150424,,566
150624,,566
150665,decode_end,566
150825,,566
151026,,566
151133,prefill_start,566
151227,,566
151428,,566
151628,,566
151829,,566
152029,,566
152230,,566
152430,,566
152631,,566
152832,,566
152859,prefill_end,566
152859,hcs_soft_load_start,566
152859,hcs_soft_load_end,566
152859,decode_start,566
153033,,566
153233,,566
153434,,566
153634,,566
153835,,566
154036,,566
154236,,566
154437,,566
154637,,566
154838,,566
155038,,566
155239,,566
155440,,566
155640,,566
155841,,566
156041,,566
156242,,566
156443,,566
156643,,566
156758,decode_end,566
156844,,566
157045,,566
157048,evict_start,566
157048,evict_end,566
157048,prefill_start,566
157245,,566
157446,,566
157646,,566
157847,,566
158047,,566
158248,,566
158449,,566
158621,prefill_end,566
158621,reload_start,566
158621,decode_start,566
158649,,566
158729,decode_end,566
158787,cleanup_end,566
158799,evict_start,566
158799,evict_end,566
158799,prefill_start,566
158850,,566
159050,,566
159251,,566
159452,,566
159652,,566
159853,,566
160054,,566
160254,,566
160428,prefill_end,566
160428,reload_start,566
160429,decode_start,566
160455,,566
160655,,566
160856,,566
161057,,566
161158,decode_end,566
161226,cleanup_end,566
161238,evict_start,566
161238,evict_end,566
161238,prefill_start,566
161257,,566
161458,,566
161658,,566
161859,,566
162059,,566
162260,,566
162461,,566
162661,,566
162811,prefill_end,566
162811,reload_start,566
162811,decode_start,566
162862,,566
163062,,566
163263,,566
163464,,566
163664,,566
163865,,566
164065,,566
164249,decode_end,566
164266,,566
164307,cleanup_end,566
164318,evict_start,566
164318,evict_end,566
164318,prefill_start,566
164467,,566
164667,,566
164868,,566
165068,,566
165269,,566
165470,,566
165670,,566
165871,,566
165893,prefill_end,566
165893,reload_start,566
165893,decode_start,566
166071,,566
166272,,566
166473,,566
166673,,566
166874,,566
167074,,566
167275,,566
167475,,566
167676,,566
167877,,566
168077,,566
168278,,566
168478,,566
168679,,566
168879,,566
169080,,566
169281,,566
169481,,566
169682,,566
169773,decode_end,566
169838,cleanup_end,566
169883,,566
170083,,566
170171,evict_start,566
170171,evict_end,566
170171,prefill_start,566
170284,,566
170484,,566
170685,,566
170886,,566
171086,,566
171287,,566
171487,,566
171688,,566
171787,prefill_end,566
171787,reload_start,566
171787,decode_start,566
171889,,566
171895,decode_end,566
171949,cleanup_end,566
171970,evict_start,566
171970,evict_end,566
171970,prefill_start,566
172089,,566
172290,,566
172491,,566
172691,,566
172892,,566
173092,,566
173293,,566
173493,,566
173549,prefill_end,566
173549,reload_start,566
173549,decode_start,566
173694,,566
173720,decode_end,566
173782,cleanup_end,566
173793,evict_start,566
173793,evict_end,566
173793,prefill_start,566
173895,,566
174095,,566
174296,,566
174497,,566
174697,,566
174898,,566
175099,,566
175299,,566
175404,prefill_end,566
175404,reload_start,566
175404,decode_start,566
175500,,566
175700,,566
175901,,566
175913,decode_end,566
175971,cleanup_end,566
175983,evict_start,566
175983,evict_end,566
175983,prefill_start,566
176101,,566
176302,,566
176503,,566
176703,,566
176904,,566
177104,,566
177305,,566
177506,,566
177551,prefill_end,566
177551,reload_start,566
177551,decode_start,566
177706,,566
177907,,566
178107,,566
178308,,566
178509,,566
178709,,566
178851,decode_end,566
178910,,566
178917,cleanup_end,566
178928,evict_start,566
178928,evict_end,566
178928,prefill_start,566
179110,,566
179311,,566
179512,,566
179712,,566
179913,,566
180113,,566
180314,,566
180515,,566
180549,prefill_end,566
180549,reload_start,566
180549,decode_start,566
180683,decode_end,566
180715,,566
180738,cleanup_end,566
180749,evict_start,566
180749,evict_end,566
180749,prefill_start,566
180916,,566
181116,,566
181318,,566
181518,,566
181719,,566
181920,,566
182120,,566
182311,prefill_end,566
182311,reload_start,566
182311,decode_start,566
182321,,566
182485,decode_end,566
182521,,566
182548,cleanup_end,566
182559,evict_start,566
182559,evict_end,566
182559,prefill_start,566
182722,,566
182923,,566
183123,,566
183324,,566
183524,,566
183725,,566
183926,,566
184126,,566
184188,prefill_end,566
184188,reload_start,566
184188,decode_start,566
184327,,566
184356,decode_end,566
184414,cleanup_end,566
184425,evict_start,566
184425,evict_end,566
184425,prefill_start,566
184527,,566
